
Date,City,Temperature (°C),Humidity(%),Air Quality Index(AQI) Value, AQI Category,Common Health Issues,Recommendations
2026-02-13,Mumbai,28,43,248 ,Poor,"Respiratory issues, allergies, eye irritation","Wear masks outdoors, use air purifiers, avoid peak pollution times"
2026-02-13,Delhi,15,38,271, Poor/Very Poor,"Asthma, cough, chest discomfort, fatigue","Stay indoors, mask N95, reduce outdoor activities, hydrate well"
2026-02-13,Banglore,21,15,65, Moderate,"Mild allergies, heat-related discomfort","Drink water, ventilate rooms, light clothing"
2026-02-13,Hydrabad,27,74,143, Moderate/Poor,"Respiratory irritation, mild asthma symptoms","Air purifiers indoors, masks outdoors, avoid heavy exercise"
2026-02-13,Chennai,24,53,249, Poor,"Skin irritation, respiratory discomfort","Stay hydrated, monitor pollution alerts, avoid strenuous outdoor work"
2026-02-13,Kolkata,21,62,271, Poor/Very Poor,"Allergy, mild respiratory issues","Use air filters, mask if sensitive, stay hydrated"
2026-02-13,Pune,22,37,65, Moderate,"Mild respiratory issues, eye irritation","Ventilate rooms, avoid dusty areas, mask if sensitive"
2026-02-13,Ahmedabad,26,48,143, Moderate/Poor,"Respiratory discomfort, cough","Use indoor purifiers, reduce outdoor exposure"
2026-02-13,Jaipur,17,60,250, Poor,"Asthma triggers, throat irritation","Wear masks, monitor pollution, indoor humidifiers"
2026-02-13,Lucknow,15,82,271, Poor/Very Poor,"Respiratory problems, fatigue","Masks, air purifiers, limit outdoor exposure"
2026-02-13,Patna,22,70,140, Moderate,"Cough, breathing difficulties","Stay indoors, N95 masks, reduce outdoor exposure"
2026-02-13,Bhubneswar,24,75,179, Moderate/Poor,"Asthma, chest discomfort","Avoid outdoor activity, use masks, air purifiers"
2026-02-13,Nagpur,29,40,251, Poor,"Mild respiratory issues, allergies","Ventilate indoors, mask outdoors if sensitive"
2026-02-13,Indore,25,45,145, Moderate/Poor,"Respiratory irritation, fatigue","Indoor air filtration, mask outdoors"
2026-02-13,Srinagar,5,50,130, Poor,"Cold-related illness, respiratory infections","Warm clothing, indoor heating, mask for air quality"
